CacheSize,BlockSize,Associativity,WriteAlloc,WritePolicy,Replacement,LoadMisses,StoreMisses,TotalCycles,Command
512,8,4,write-allocate,write-back,fifo,6219,28101,6594983,./csim 512 8 4 write-allocate write-back fifo < gcc.trace
1024,4,4,write-allocate,write-back,fifo,6291,28136,6609483,./csim 1024 4 4 write-allocate write-back fifo < gcc.trace
512,8,32,write-allocate,write-back,lru,1602,4547,6634083,./csim 512 8 32 write-allocate write-back lru < gcc.trace
2048,2,4,write-allocate,write-back,fifo,6512,28291,6658583,./csim 2048 2 4 write-allocate write-back fifo < gcc.trace
1024,4,32,write-allocate,write-back,lru,1626,4551,6698083,./csim 1024 4 32 write-allocate write-back lru < gcc.trace
128,16,4,write-allocate,write-back,lru,6168,28034,6754283,./csim 128 16 4 write-allocate write-back lru < gcc.trace
256,8,4,write-allocate,write-back,lru,6225,28043,6761283,./csim 256 8 4 write-allocate write-back lru < gcc.trace
512,4,4,write-allocate,write-back,lru,6395,28092,6788183,./csim 512 4 4 write-allocate write-back lru < gcc.trace
512,8,32,write-allocate,write-back,fifo,1709,4573,6806883,./csim 512 8 32 write-allocate write-back fifo < gcc.trace
1024,4,32,write-allocate,write-back,fifo,1731,4570,6855683,./csim 1024 4 32 write-allocate write-back fifo < gcc.trace
4096,1,4,write-allocate,write-back,fifo,7862,28719,6886383,./csim 4096 1 4 write-allocate write-back fifo < gcc.trace
4096,1,4,write-allocate,write-back,lru,7862,28719,6886383,./csim 4096 1 4 write-allocate write-back lru < gcc.trace
1024,2,4,write-allocate,write-back,lru,7044,28385,6922483,./csim 1024 2 4 write-allocate write-back lru < gcc.trace
2048,2,32,write-allocate,write-back,lru,1693,4576,6953283,./csim 2048 2 32 write-allocate write-back lru < gcc.trace
128,16,4,write-allocate,write-back,fifo,7362,28590,7032483,./csim 128 16 4 write-allocate write-back fifo < gcc.trace
2048,4,8,write-allocate,write-back,lru,4078,17443,7042483,./csim 2048 4 8 write-allocate write-back lru < gcc.trace
256,8,4,write-allocate,write-back,fifo,7402,28632,7042583,./csim 256 8 4 write-allocate write-back fifo < gcc.trace
256,32,8,write-allocate,write-back,lru,4037,17432,7045083,./csim 256 32 8 write-allocate write-back lru < gcc.trace
1024,8,8,write-allocate,write-back,lru,4056,17443,7046083,./csim 1024 8 8 write-allocate write-back lru < gcc.trace
512,16,8,write-allocate,write-back,lru,4048,17440,7051083,./csim 512 16 8 write-allocate write-back lru < gcc.trace
512,4,4,write-allocate,write-back,fifo,7530,28667,7061483,./csim 512 4 4 write-allocate write-back fifo < gcc.trace
4096,2,8,write-allocate,write-back,lru,4159,17464,7069283,./csim 4096 2 8 write-allocate write-back lru < gcc.trace
2048,2,32,write-allocate,write-back,fifo,1782,4587,7082083,./csim 2048 2 32 write-allocate write-back fifo < gcc.trace
256,32,8,write-allocate,write-back,fifo,4219,17511,7133683,./csim 256 32 8 write-allocate write-back fifo < gcc.trace
1024,8,8,write-allocate,write-back,fifo,4244,17543,7142883,./csim 1024 8 8 write-allocate write-back fifo < gcc.trace
512,16,8,write-allocate,write-back,fifo,4232,17535,7143083,./csim 512 16 8 write-allocate write-back fifo < gcc.trace
2048,4,8,write-allocate,write-back,fifo,4282,17542,7145883,./csim 2048 4 8 write-allocate write-back fifo < gcc.trace
64,16,4,write-allocate,write-back,lru,7840,28725,7151783,./csim 64 16 4 write-allocate write-back lru < gcc.trace
128,8,4,write-allocate,write-back,lru,7836,28729,7159183,./csim 128 8 4 write-allocate write-back lru < gcc.trace
1024,2,4,write-allocate,write-back,fifo,7995,28916,7162483,./csim 1024 2 4 write-allocate write-back fifo < gcc.trace
